Reference ID;Client Operation id;Method;Operation State;Status;Initial Amount;Initial Currency;Charged Amount;Charged Currency
0198138710eb70968602412974f87026;5008909010215904;apm;complete;fail;400;TRY;0;
0198138544707302a8f44122709963a1;5009553010213774;apm;complete;fail;400;TRY;0;
01981384cd6b7d0294e3dc28792828ce;5012521010214654;apm;complete;fail;400;TRY;0;
01981383876f7a5ba055005e6f4e4019;25375010145652;apm;complete;fail;400;TRY;0;
01981381efde70e3846343dabf25034c;37095010146842;apm;complete;fail;400;TRY;0;
0198137ef654745793e54f11c3ebbc42;81424010177752;apm;in_process;success;403;TRY;403;TRY
0198137eec4272de84742545f08be22d;18514010132392;apm;complete;fail;350;TRY;0;
0198137cadf075c6b0816dbfd31c2f8f;69626010122482;apm;complete;fail;350;TRY;0;
0198136e27fc753e997430ead012aa49;7518010145732;apm;in_process;success;403;TRY;403;TRY
0198136da4e47da88a495a099566ea63;34904010145512;apm;complete;fail;417;TRY;0;
0198136a0f727f6bb348dc5d6a3cca4c;69522010120512;apm;complete;fail;450;TRY;0;
01981365e1f97e34adae6b184f79d6e6;44286010093342;apm;complete;fail;400;TRY;0;
01981362641e790db4da8b81abab178c;2261010142822;apm;complete;fail;400;TRY;0;
019813603bfb7db6a83870c738fef0ca;31490010146762;apm;complete;fail;300;TRY;0;
01981359db9c73c38ec4262830167607;42014010090042;apm;complete;fail;300;TRY;0;
019813590c6d784291a9036b23721310;53239010167372;apm;complete;fail;300;TRY;0;
019813585f1977ee8d6d463eb068cf1e;96913010177992;apm;complete;fail;6039;TRY;0;
019813534399719988c75aa4a3ac0099;97826010179562;apm;complete;fail;300;TRY;0;
0198134dd2ec7f5d9ea73662fd0415f3;5038633010216384;apm;complete;fail;4100;TRY;0;
0198134ab8787e13abfe472338b2a402;5019836010216384;apm;complete;fail;300;TRY;0;
01981348bbd67a16ba7440ede573695e;5001021010210014;apm;complete;fail;300;TRY;0;
01981347d12e7b33b2318dfe97d4c021;44193010091752;apm;complete;fail;300;TRY;0;
019812f218da725eaf522cb44838895e;5038484010216364;apm;in_process;success;100;TRY;100;TRY
01980fb0e10b752d8b7de6d41253a2bc;5015912010217164;apm;complete;fail;122;TRY;0;
01980f182c4b794cacb63f7d1ee6f4a4;5007422010209814;apm;complete;fail;100;TRY;0;
01980e3869a57b5a842f5c8c43fdf1c3;5008120010210824;apm;complete;fail;100;TRY;0;
01980e34ccd774079a5fb182a496f1aa;5026512010214724;apm;complete;fail;100;TRY;0;
